location,other_location_details,size,bedrooms,bathrooms,price,property_type,purchase_type,source,beds,baths,toilets
Off Waiyaki Way,Lavington,2400.0,4.0,4.0,38000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,4.0,5.0,96000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Tigoni,Limuru,2400.0,5.0,2.0,75000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ruaka Road.,"Runda, Westlands",2400.0,5.0,5.0,90000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Nyali,Nyali Area,2400.0,4.0,2.0,30000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,5.0,6.0,55000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,5000.0,3.0,3.0,6500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,5000.0,3.0,3.0,6200000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,4000.0,3.0,3.0,10500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,5.0,28000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,4.0,40000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,4.0,32000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,4.0,39000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Syokimau,Syokimau,2400.0,5.0,4.0,17000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,5.0,5.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu Road,Kiambu Road,2400.0,4.0,4.0,39500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
area,Redhill,2400.0,4.0,4.0,28000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
5210,Thika Road,2400.0,5.0,6.0,18000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Saina Ole mpoke,"Ngong, Olkeri",5600.0,6.0,6.0,52000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Casurina road,Malindi,2400.0,3.0,3.0,12499000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen End,Karen,2400.0,4.0,5.0,33000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
st michael road,"Westlands Area, Westlands",2400.0,5.0,4.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
80400,"Diani beach Road, Ukunda",2400.0,5.0,6.0,54900000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
80400,"Ukunda,diani, Ukunda",2400.0,6.0,6.0,79500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Nyali,Nyali Area,2400.0,4.0,4.0,60000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,3200.0,4.0,5.0,75000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,3800.0,5.0,6.0,80000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitisuru,Westlands,4200.0,6.0,7.0,110000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Utange,Bamburi,2400.0,4.0,4.0,17000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kiambu road,Kiambu Road,2400.0,5.0,5.0,85000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Bamburi mtambo,Bamburi,2400.0,2.0,2.0,7200000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Nyali Mombasa,"Nyali Area, Nyali",2400.0,4.0,6.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Mtwapa,Mtwapa,2400.0,3.0,3.0,8500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
acacia,Kitengela,2400.0,3.0,2.0,5500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
acacia,Kitengela,2400.0,3.0,3.0,8000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
acacia,Kitengela,2400.0,3.0,4.0,6500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Gitanga Road,Lavington,2400.0,4.0,2.0,24000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,7.0,7.0,240000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lamu,lamu,2400.0,4.0,2.0,25000002.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,4.0,2.0,80000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
